Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DEI,"Douglas Emmett",41.57,0.39,+0.95%,41.76,41.01,407900,05/03/19
DKS,"Dick's Sporting Goods Inc",36.47,0.45,+1.25%,36.53,35.92,1860400,05/03/19
DLPH,"Delphi Technologies Plc",22.46,0.77,+3.55%,22.58,21.29,1427600,05/03/19
DLX,"Deluxe Corp",44.19,0.54,+1.24%,44.5,43.73,425900,05/03/19
DNKN,"Dunkin' Brands Group",74.05,0.45,+0.61%,74.67,73,855800,05/03/19
DNOW,"Now Inc",15.53,0.68,+4.58%,15.55,14.69,888500,05/03/19
DPZ,"Domino's Pizza Inc",279.75,5.43,+1.98%,280.43,274.3,761000,05/03/19
DY,"Dycom Industries",51.71,2.73,+5.57%,51.86,49.46,458900,05/03/19
EAT,"Brinker International",43.58,0.42,+0.97%,43.74,43.07,957400,05/03/19
EHC,"Encompass Health Corp",64.48,1.16,+1.83%,64.6,63.27,940200,05/03/19
EME,"Emcor Group",82.83,0.42,+0.51%,83.31,82.44,223200,05/03/19
ENR,"Energizer Holdings Inc",47.02,-0.33,-0.70%,47.69,47,612400,05/03/19
ENS,"Enersys Inc",70.96,1.84,+2.66%,71.07,69.82,369400,05/03/19
EPC,"Edgewell Personal Care",41.71,0.64,+1.56%,41.85,41.32,362700,05/03/19
EPR,"Entertainment Properties Trust",79.14,-0.04,-0.05%,79.89,78.99,397800,05/03/19
EQT,"Eqt Corp",20.38,0.66,+3.35%,20.43,19.71,2754600,05/03/19
ERI,"Eldorado Resorts",49.65,1.31,+2.71%,50.07,47.21,1121600,05/03/19
ESV,"Ensco Plc",13.21,0.69,+5.51%,13.27,12.8,6390200,05/03/19
ETRN,"Equitrans Midstream Corp",21.2,0.57,+2.76%,21.26,20.64,1704200,05/03/19
EV,"Eaton Vance Corp",41.96,0.88,+2.14%,42.07,41.06,577400,05/03/19
EVR,"Evercore Partners Inc",94.98,0.15,+0.16%,95.62,94.52,337300,05/03/19
EWBC,"East West Bancorp",52.73,0.59,+1.13%,52.97,52.16,449200,05/03/19
EXEL,"Exelixis Inc",20.78,0.59,+2.92%,20.89,19.95,4054600,05/03/19
EXP,"Eagle Materials Inc",90.61,1.16,+1.30%,90.73,89.56,323100,05/03/19
FAF,"First American Corp",56.19,0,0.00%,56.47,55.89,594500,05/03/19
FDS,"Factset Research Systems Inc",278.84,4.3,+1.57%,279.59,274.98,216300,05/03/19
FFIN,"First Finl Bkshs Inc",62.87,0.91,+1.47%,62.99,62.11,237300,05/03/19
FHN,"First Horizon National Corp",15.21,0.09,+0.60%,15.35,15.06,2273700,05/03/19
FICO,"Fair Isaac and Company Inc",280.25,7.75,+2.84%,280.54,274.4,161500,05/03/19
FII,"Federated Investors",31.52,0.29,+0.93%,31.53,31.19,430900,05/03/19
FIVE,"Five Below Inc",146.08,2.5,+1.74%,146.3,143.39,542100,05/03/19
FLO,"Flowers Foods",21.6,0.09,+0.42%,21.71,21.48,698700,05/03/19
FNB,"F.N.B. Corp",12.36,0.21,+1.73%,12.41,12.16,2503600,05/03/19
FR,"First Industrial Realty Trust",35.46,0.49,+1.40%,35.51,35.04,618200,05/03/19
FSLR,"First Solar Inc",61.76,1.9,+3.17%,63.82,60.46,4455300,05/03/19
FULT,"Fulton Financial Cor",17.48,0.27,+1.57%,17.51,17.22,593800,05/03/19
GATX,"GATX Corp",78.28,1.71,+2.23%,78.97,77.27,184900,05/03/19
GDOT,"Green Dot Corp",66.68,1.66,+2.55%,66.81,64.95,529500,05/03/19
GEF,"Greif Bros. Corp",40.09,1.33,+3.43%,40.15,39.08,104400,05/03/19
GEO,"Geo Group Inc",21.07,0.34,+1.64%,21.08,20.72,391600,05/03/19
GGG,"Graco Inc",52.3,0.83,+1.61%,52.43,51.56,506100,05/03/19
GHC,"Graham Holdings Company",716.62,-7.06,-0.98%,726.91,707.18,44300,05/03/19
GMED,"Globus Medical Inc",43.3,-2.66,-5.79%,43.54,41.16,2684000,05/03/19
GNTX,"Gentex Corp",23.39,0.35,+1.52%,23.42,23.02,1117200,05/03/19
GNW,"Genworth Financial Inc",3.88,0.14,+3.74%,3.93,3.76,3291000,05/03/19
GT,"Goodyear Tire Rubber",18.4,0.14,+0.77%,18.51,18.31,2274400,05/03/19
GVA,"Granite Construction Inc",46.98,1.54,+3.39%,47.03,45.81,458100,05/03/19
GWR,"Genesee & Wyoming",90.01,1.18,+1.33%,90.98,89.14,240900,05/03/19
HAE,"Haemonetics Corp",93.42,2.75,+3.03%,93.46,90.95,486400,05/03/19
HAIN,"Hain Celestial Grp",22.48,0.47,+2.14%,22.57,21.92,1044300,05/03/19
HCSG,"Healthcare Svcs Gp",34.07,0.78,+2.34%,34.19,33.51,1084300,05/03/19
HE,"Hawaiian Electric Industries",41.63,0.42,+1.02%,41.72,41.2,464300,05/03/19
HELE,"Helen of Troy Ltd",144.51,1,+0.70%,145.22,141.38,166700,05/03/19
HIW,"Highwoods Properties",45.08,0.54,+1.21%,45.25,44.56,383600,05/03/19
HNI,"Hon Industries Inc",37.46,1.34,+3.71%,37.51,36.32,290600,05/03/19
HOMB,"Home Bancshares Inc",19.71,0.4,+2.07%,19.72,19.3,530500,05/03/19
HPT,"Hospitality Properites Trust",26.29,0.26,+1.00%,26.33,26.04,769200,05/03/19
HQY,Healthequity,71.26,1.76,+2.53%,71.63,69.54,779300,05/03/19
HR,"Healthcare Realty Trust Inc",31.3,0.53,+1.72%,31.37,30.74,543500,05/03/19
HRC,"Hill-Rom Holdings Inc",101.05,0.86,+0.86%,101.27,100.19,481700,05/03/19
HUBB,"Hubbell Inc B",129.68,0.97,+0.75%,130.57,129.37,359000,05/03/19
HWC,"Hancock Whitney Corp",44.47,0.73,+1.67%,44.53,43.84,541900,05/03/19
IART,"Integra Lifesciences",52.71,0.67,+1.29%,53.2,52.3,283600,05/03/19
IBKR,"Interactive Brokers",56.71,0.81,+1.45%,56.72,55.6,285200,05/03/19
IBOC,"Intl Bancshares",41.74,0.96,+2.35%,41.82,40.71,161300,05/03/19
ICUI,"I C U Medical Inc",231.09,0.04,+0.02%,236.08,230.33,256000,05/03/19
IDA,"Idacorp Inc",100.4,2.03,+2.06%,100.45,97.78,265600,05/03/19
IDCC,"Interdigital Inc",72.55,4.7,+6.93%,72.66,67.31,886000,05/03/19
IEX,"Idex Corp",156.43,1.08,+0.70%,157.48,156.27,287200,05/03/19
INGN,"Inogen Inc",91.68,3.57,+4.05%,92.55,88.66,482000,05/03/19
INGR,"Ingredion Inc",86.72,-0.22,-0.25%,87.99,85.26,792600,05/03/19
INT,"World Fuel Services Corp",30.62,0.59,+1.96%,30.71,30.21,340100,05/03/19
ISCA,"Intl Speedway Cl A",43.99,0.43,+0.99%,44.01,43.39,57900,05/03/19
ITT,"ITT Inc",63.2,3.65,+6.13%,63.54,61.35,1555800,05/03/19
JACK,"Jack IN The Box Inc",77.94,0.98,+1.27%,78.14,76.27,322400,05/03/19
JBGS,"Jbg Smith Properties",42.25,0.31,+0.74%,42.34,41.78,277900,05/03/19
JBL,"Jabil Circuit",31.04,0.53,+1.74%,31.05,30.55,786400,05/03/19
JBLU,"Jetblue Airways Cp",18.71,0.08,+0.43%,18.83,18.56,2522300,05/03/19
JCOM,"J2 Global Inc",87.29,1.24,+1.44%,87.69,86.38,373100,05/03/19
JHG,"Janus Henderson Group Plc",22.54,-0.94,-4.00%,23.47,21.8,5049600,05/03/19
JLL,"Jones Lang Lasalle Inc",152.52,0.74,+0.49%,152.85,151.27,198300,05/03/19
JW.A,"John Wiley Sons Cl A",48.29,1.03,+2.18%,48.37,47.34,188000,05/03/19
KBH,"KB Home",26.25,0.04,+0.15%,26.46,25.96,1000900,05/03/19
KBR,"KBR Inc",23.58,1.18,+5.27%,23.72,22.66,2684400,05/03/19
KEX,"Kirby Corp",84.9,3.06,+3.74%,86.07,83.71,677400,05/03/19
KMPR,"Kemper Corp",90.69,1.56,+1.75%,90.78,89.58,247300,05/03/19
KMT,"Kennametal Inc",40.77,1.03,+2.59%,40.79,39.96,839400,05/03/19
KNX,"Knight-Swift Transporation Inc",33.3,1.04,+3.22%,33.53,32.18,1793500,05/03/19
KRC,"Kilroy Realty Corp",77.9,0.98,+1.27%,77.98,76.55,467600,05/03/19
LAMR,"Lamar Advertis A",81.55,1.13,+1.41%,82.16,80.2,356600,05/03/19
LANC,"Lancaster Colony Cor",151.59,1.63,+1.09%,151.64,149.24,102900,05/03/19
LDOS,"Leidos Holdings Inc",74.45,1.31,+1.79%,74.63,72.84,903900,05/03/19
LECO,"Lincoln Elec Hldg",88.22,1.69,+1.95%,88.36,87.15,200400,05/03/19
LFUS,"Littelfuse Inc",196.23,2.66,+1.37%,197.64,192.27,115700,05/03/19
LGND,"Ligand Pharm",121.61,-5.5,-4.33%,126.15,113.25,1037200,05/03/19
LII,"Lennox International",272.01,5.93,+2.23%,273.31,267.39,294300,05/03/19
LITE,"Lumentum Hld",63.74,1.15,+1.84%,63.87,62,1101400,05/03/19
LIVN,"Livanova Plc OR Sh",74.77,2.29,+3.16%,75.46,73.08,545200,05/03/19
LM,"Legg Mason Inc",34.02,0.38,+1.13%,34.04,33.5,887500,05/03/19
LOGM,"Logmein Inc",82.19,0.9,+1.11%,82.4,81.24,538500,05/03/19
LPT,"Liberty Property Trust",49.5,0.31,+0.63%,49.68,48.97,712600,05/03/19
LPX,"Louisiana-Pacific Corp",25.43,0.7,+2.83%,25.45,24.88,1578300,05/03/19
LSI,"Life Storage",96.43,0.24,+0.25%,97.06,95.89,255200,05/03/19
LSTR,"Landstar System",112.08,3.01,+2.76%,112.24,109.44,334200,05/03/19
LYV,"Live Nation Entertainment",64.34,0.58,+0.91%,67,63.9,3386800,05/03/19
MAN,"Manpower Inc",96.01,1.21,+1.28%,96.09,94.48,388900,05/03/19
MANH,"Manhattan Assoc",68.04,0.93,+1.39%,68.27,67,262900,05/03/19
MASI,"Masimo Corp",138.49,4.63,+3.46%,139.17,133.14,650800,05/03/19
MCY,"Mercury General Corp",56.32,0.9,+1.62%,56.41,55.31,320600,05/03/19
MD,"Mednax Inc",29.33,0.78,+2.73%,29.59,28.39,1503300,05/03/19
MDP,"Meredith Corp",60,1,+1.69%,60.02,59.16,363100,05/03/19
MDR,"McDermott International",7.96,-0.13,-1.61%,8.24,7.9,4298200,05/03/19
MDRX,"Allscripts Hlthcare",10.43,0.49,+4.93%,10.77,10.01,3127500,05/03/19
MDSO,"Medidata Solutions",93.97,1.49,+1.61%,94.88,92.59,734000,05/03/19
MDU,"Mdu Res Group Inc",26.52,0.59,+2.28%,26.59,26.01,1410300,05/03/19
MIK,"The Michaels Comp",11.27,0.49,+4.55%,11.34,10.83,1924700,05/03/19
MKSI,"Mks Instruments Inc",90.93,1.47,+1.64%,91.13,89.43,510900,05/03/19
MKTX,"Marketaxess Holdings",286.05,3.14,+1.11%,288.45,283.19,249900,05/03/19
MLHR,"Miller Herman Inc",39.54,1.07,+2.78%,39.7,37.88,226300,05/03/19
MMS,"Maximus Inc",73.84,1,+1.37%,73.89,72.84,284000,05/03/19
MNK,"Mallinckrodt Plc",16.14,0.44,+2.80%,16.29,15.42,1975400,05/03/19
MOH,"Molina Healthcare Inc",128.26,1.51,+1.19%,129.49,125.93,600700,05/03/19
MPW,"Medical Properties Trust",18.1,0.45,+2.55%,18.14,17.74,3346600,05/03/19
MPWR,"Monolithic Power Sys",144.97,-11.2,-7.17%,148.36,140,957700,05/03/19
MSA,"Msa Safety Inc",112.96,1.83,+1.65%,113.06,111.47,121700,05/03/19
MSM,"Msc Industrial Direct Company",83.97,2.23,+2.73%,83.97,82.19,216000,05/03/19
MTDR,"Matador Resources Company",19.15,0.71,+3.85%,19.23,18.39,1924300,05/03/19
MTX,"Minerals Technologies Inc",62.77,3.04,+5.09%,63.08,60.42,163800,05/03/19
MTZ,"Mastec Inc",49.9,-0.31,-0.62%,53.8,49.13,2081200,05/03/19
MUR,"Murphy Oil Corp",26.26,0.88,+3.47%,26.76,25.45,3895400,05/03/19
MUSA,"Murphy USA Inc",84.97,0.07,+0.08%,86.64,84.34,393400,05/03/19
NATI,"Natl Instruments Cor",44.33,0.56,+1.28%,44.6,43.68,942000,05/03/19
NAVI,"Navient Cp",13.92,0.08,+0.58%,13.98,13.73,1220700,05/03/19
NCR,"NCR Corp",29.06,0.78,+2.76%,29.15,28.44,380700,05/03/19
NDSN,"Nordson Corp",148.86,3.55,+2.44%,149.07,146.06,131400,05/03/19
NEU,"Newmarket Corp",424.68,7.52,+1.80%,426.79,415.66,44600,05/03/19
NFG,"National Fuel Gas Company",58.19,-0.21,-0.36%,59.24,57.38,878300,05/03/19
NGVT,"Ingevity Corp",104.49,2.04,+1.99%,104.64,99.77,545500,05/03/19
NJR,"Newjersey Resources Corp",50.67,1.18,+2.38%,50.96,49.08,359500,05/03/19
NNN,"National Retail Properties",53.45,0.44,+0.83%,53.55,52.85,569200,05/03/19
NSP,"Insperity Inc",121.23,1.45,+1.21%,122,120.07,319700,05/03/19
NTCT,"Netscout Systems I",28.83,-0.35,-1.20%,29.79,28.18,559700,05/03/19
NUS,"Nu Skin Enterprises",58.57,-1.91,-3.16%,61.92,58.26,1702500,05/03/19
NUVA,"Nuvasive Inc",62.96,0.74,+1.19%,64.12,61.92,569200,05/03/19
NVR,"NVR Inc",3270,22.13,+0.68%,3284.37,3243.06,21700,05/03/19
NVT,"Nvent Electric Plc",27.31,-0.02,-0.07%,27.7,27.03,2155500,05/03/19
NWE,"Northwestern Corp",70.76,1.42,+2.05%,70.89,69.21,212500,05/03/19
NYCB,"New York Community Bancorp",11.59,0.1,+0.87%,11.66,11.53,6219000,05/03/19
NYT,"New York Times Company",33.62,0.75,+2.28%,33.65,32.89,1255100,05/03/19
OAS,"Oasis Petroleum Inc",5.51,0.12,+2.23%,5.59,5.39,9143000,05/03/19
ODFL,"Old Dominion Freig",153.29,3.24,+2.16%,154.6,150.89,341800,05/03/19
OFC,"Corporate Office Properties",28.08,0.4,+1.45%,28.2,27.73,580800,05/03/19
OGE,"Oge Energy Corp",41.61,0.43,+1.04%,41.74,40.98,1386200,05/03/19
OGS,"One Gas Inc",88.65,1.29,+1.48%,88.9,87.47,157100,05/03/19
OHI,"Omega Healthcare Investors",35.73,0.27,+0.76%,35.81,35.45,1311000,05/03/19
OI,Owens-Illinois,18.23,0.32,+1.79%,18.25,17.77,1903900,05/03/19
OII,"Oceaneering International",19.15,-0.26,-1.34%,19.68,19.13,845500,05/03/19
OLED,"Universal Display",170.33,13.73,+8.77%,190,166.79,5600600,05/03/19
OLLI,"Ollies Bargain CS",96.25,0.82,+0.86%,96.49,94.89,696400,05/03/19
OLN,"Olin Corp",21.34,0.7,+3.39%,21.35,20.76,1882600,05/03/19
ORI,"Old Republic International Corp",22.37,0.15,+0.68%,22.4,22.16,1046500,05/03/19
OSK,"Oshkosh Truck Corp",81.14,2.05,+2.59%,81.47,79.66,737800,05/03/19
OZK,"Bank Ozk",34.13,0.85,+2.55%,34.14,33.35,888900,05/03/19
PACW,"Pacwest Bancorp",40.55,0.56,+1.40%,40.6,40.02,649500,05/03/19
PB,"Prosperity Bancshares",74.36,0.86,+1.17%,74.5,73.49,193900,05/03/19
PBF,"PBF Energy Inc",34.28,1.25,+3.78%,34.35,33.25,2319500,05/03/19
PBH,"Prestige Brand Holdings",29.7,0.29,+0.99%,29.81,29.52,373800,05/03/19
PCH,"Potlatch Cp",40.4,1.1,+2.80%,40.49,39.44,415400,05/03/19
PDCO,"Patterson Companies",22.56,0.39,+1.76%,22.66,22.18,489000,05/03/19
PEB,"Pebblebrook Hotel Trust",33.39,0.47,+1.43%,33.4,32.84,844000,05/03/19
PENN,"Penn Natl Gaming Inc",20,-0.04,-0.20%,20.37,19.65,3587000,05/03/19
PII,"Polaris Industries Inc",101.29,-0.73,-0.72%,103.19,100.39,494700,05/03/19
PLT,Plantronics,53.26,2.07,+4.04%,53.33,50.66,246100,05/03/19
PNFP,"Pinnacle Finl Ptnrs",59.06,0.8,+1.37%,59.25,58.39,214200,05/03/19
PNM,"PNM Resources Inc",47.1,0.99,+2.15%,47.28,46.21,412100,05/03/19
POL,"Polyone Corp",27.94,1.34,+5.04%,27.98,26.81,800100,05/03/19
POOL,"Pool Corp",184.44,-0.52,-0.28%,185.92,183.9,228400,05/03/19
POST,"Post Holdings Inc",103.16,-6.59,-6.00%,108.3,101.72,1288900,05/03/19
PRAH,"Pra Health",93.38,1.38,+1.50%,93.51,91.21,1012800,05/03/19
PRI,"Primerica Inc",131.19,3.05,+2.38%,131.3,128.71,207000,05/03/19
PRSP,"Perspecta Inc",23.42,0.69,+3.04%,23.45,22.86,793600,05/03/19
PSB,"Business Parks",158.78,2.37,+1.52%,159.02,156.68,90300,05/03/19
PTC,"Ptc Inc",88.42,0.55,+0.63%,89.24,88.05,1014400,05/03/19
PTEN,"Patterson-Uti Energy",13.57,0.5,+3.83%,13.72,13.13,4353000,05/03/19
PZZA,"Papa John's Intl",53.06,0.81,+1.55%,53.29,52.03,449400,05/03/19
QEP,"Qep Resources",7.34,0.18,+2.51%,7.4,7.13,1716400,05/03/19
R,"Ryder System",63.66,2.41,+3.93%,64.14,61.58,465300,05/03/19
RAMP,"Liveramp Holdings Inc",58.21,-0.05,-0.09%,58.94,57.76,499500,05/03/19
RBC,"Regal-Beloit Corp",87.26,2.2,+2.59%,87.31,85.71,212000,05/03/19
REZI,"Resideo Technologies Inc",23.32,0.65,+2.87%,23.37,22.81,970200,05/03/19
RGA,"Reinsurance Group of America Inc",150.69,1.24,+0.83%,151,148.51,132100,05/03/19
RGLD,"Royal Gold Inc",81.32,-0.28,-0.34%,83.08,81.06,678000,05/03/19
RIG,"Transocean Inc",7.76,0.28,+3.74%,7.85,7.42,16354900,05/03/19
RLGY,"Realogy Holdings Corp",9.23,-0.88,-8.70%,9.94,8.82,8116500,05/03/19
RNR,"Renaissancere Holdings Ltd",155.16,-0.37,-0.24%,156.77,154.83,140500,05/03/19
RPM,"RPM International Inc",61.21,1.23,+2.05%,61.39,60.09,313800,05/03/19
RRC,"Range Resources Corp",9.13,0.39,+4.46%,9.26,8.74,8436400,05/03/19
RS,"Reliance Steel & Aluminum Company",92.14,2.1,+2.33%,92.64,91,431700,05/03/19
RYN,"Rayonier Inc REIT",32.5,0.79,+2.49%,32.6,32.01,470100,05/03/19
SABR,"Sabre Corp",21.9,0.35,+1.62%,21.91,21.55,2072700,05/03/19
SAFM,"Sanderson Farms IN",151.97,4.03,+2.72%,152.28,146.92,350900,05/03/19
SAIC,"Science Applications Internatio",75.02,1.75,+2.39%,75.47,73.63,419200,05/03/19
SAM,"Boston Beer Company",328.86,10.99,+3.46%,338.7,319.85,289200,05/03/19
SBH,"Sally Beauty Holdings",16.53,0.3,+1.85%,16.6,16.01,2278400,05/03/19
SBNY,"Signature Bank",132.97,1.2,+0.91%,134.27,131.93,362200,05/03/19
SBRA,"Sabra REIT",20,0.42,+2.15%,20.01,19.56,854300,05/03/19
