Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aaron's Inc",58.75,1.81,+3.18%,59,56.62,706000,05/03/19
ACC,"American Campus Communities Inc",47.31,0.16,+0.34%,47.39,46.82,612900,05/03/19
ACHC,"Acadia Healthcr CO",33.42,1.16,+3.60%,33.53,32.37,583100,05/03/19
ACIW,"Aci Worldwide Inc",35.42,0.44,+1.26%,35.47,34.97,419000,05/03/19
ACM,"Aecom Technology Corp",33.62,0.51,+1.54%,33.77,33.21,1225800,05/03/19
ADNT,"Adient Plc",24.89,0.99,+4.14%,25.01,23.65,1657200,05/03/19
AEO,"American Eagle Outfitters",24.12,0.08,+0.33%,24.3,23.76,2279700,05/03/19
AFG,"American Financial Group",103.51,1.02,+1.00%,103.64,102.15,660200,05/03/19
AGCO,"Agco Corp",74.82,-0.11,-0.15%,75.5,73.39,788300,05/03/19
ALE,"Allete Inc",82.05,1.75,+2.18%,82.09,80.18,264100,05/03/19
ALEX,"Alexander and Baldwin Inc",24.26,0.97,+4.16%,24.5,23.65,421500,05/03/19
AMCX,"Amc Networks Cl A",56.26,-1.1,-1.92%,57.65,55.74,759600,05/03/19
AMED,"Amedisys Inc",117.68,-2.94,-2.44%,120.87,115.44,786900,05/03/19
AN,"Autonation Inc",41.69,0.65,+1.58%,41.77,41.02,1106700,05/03/19
APY,"Apergy Corp",40.44,1.28,+3.27%,40.55,39.22,360000,05/03/19
ARW,"Arrow Electronics",76.15,0.96,+1.28%,76.26,75.1,804100,05/03/19
ASB,"Associated Banc-Corp",23.09,0.29,+1.27%,23.18,22.86,851500,05/03/19
ASGN,"On Assignment",63,1.03,+1.66%,63.07,61.87,338300,05/03/19
ASH,"Ashland Global Holdings Inc",75.98,0.78,+1.04%,76.02,74.88,426700,05/03/19
ATGE,"Adtalem Global Education Inc",45.86,-4.16,-8.32%,49.21,45.56,546200,05/03/19
ATI,"Allegheny Technologies Inc",25.64,1.14,+4.65%,25.68,24.74,1227500,05/03/19
ATR,Aptargroup,113.85,0.85,+0.75%,114.14,112.73,310200,05/03/19
AVNS,"Avanos Medical Inc",45.81,1.71,+3.88%,45.9,44.34,305500,05/03/19
AVT,"Avnet Inc",46.82,0.02,+0.04%,47.26,45.7,1011300,05/03/19
AYI,"Acuity Brands Inc",145.11,0.58,+0.40%,145.92,143.95,395300,05/03/19
BBBY,"Bed Bath & Beyond",16.45,0.25,+1.54%,16.52,16.14,2761800,05/03/19
BC,"Brunswick Corp",52.78,1.06,+2.05%,52.89,51.52,822800,05/03/19
BCO,"Brink's Company",81.15,1.86,+2.35%,81.17,79.35,296100,05/03/19
BDC,"Belden Inc",61.49,1.07,+1.77%,61.63,60.62,646000,05/03/19
BHF,"Brighthouse Financial Inc",42.22,0.37,+0.88%,42.76,41.93,1721700,05/03/19
BID,"Sotheby's Holdings",40.67,0.17,+0.42%,41.24,39.78,361300,05/03/19
BIO,"Bio-Rad Laboratories",308.36,6.16,+2.04%,309.34,302.27,161600,05/03/19
BKH,"Black Hills Corp",74.49,2.69,+3.75%,75.15,72.03,654200,05/03/19
BLKB,"Blackbaud Inc",78.21,3.05,+4.06%,78.29,75.26,279900,05/03/19
BMS,"Bemis Company",59.53,1.07,+1.83%,59.85,58.45,1807300,05/03/19
BOH,"Bank of Hawaii Corp",84.45,1.19,+1.43%,84.53,83.35,150400,05/03/19
BRO,"Brown & Brown",32.34,0.53,+1.67%,32.38,31.82,766600,05/03/19
BRX,"Brixmor Property Group Inc",18.2,0.15,+0.83%,18.27,17.99,2020200,05/03/19
BXS,"Bancorpsouth Inc",30.75,0.34,+1.12%,30.96,30.51,412700,05/03/19
BYD,"Boyd Gaming Corp",28.07,0.11,+0.39%,28.34,27.72,886000,05/03/19
CABO,"Cable One Inc",1081.23,27.61,+2.62%,1081.29,1055.3,90600,05/03/19
CACI,"Caci International",204.81,2.1,+1.04%,206.15,203.45,241700,05/03/19
CAKE,"Cheesecake Fact",50.01,-0.08,-0.16%,50.74,49.38,858000,05/03/19
CAR,"Avis Budget Group I",37.15,1.04,+2.88%,37.27,36.19,2019800,05/03/19
CARS,"Cars.com Inc",21.4,1,+4.90%,21.49,20.51,1894000,05/03/19
CASY,"Casey's General Stor",131.11,-0.12,-0.09%,132.76,130.7,238200,05/03/19
CATY,"Cathay Genl Bncp",37.54,0.61,+1.65%,37.56,36.88,234900,05/03/19
CBRL,"Cracker Barrel",168.58,-1.13,-0.67%,169.4,166.38,349400,05/03/19
CBSH,"Commerce Bancshares",61.58,0.78,+1.28%,61.96,60.96,409900,05/03/19
CBT,"Cabot Corp",46.91,1.96,+4.36%,47.06,44.93,415500,05/03/19
CC,"Chemours Company",34.18,0.01,+0.03%,34.52,32.76,5234900,05/03/19
CDK,"Cdk Global Inc",55.8,0.45,+0.81%,56.06,55.38,992400,05/03/19
CFR,"Cullen/Frost Bankers",103.21,1.24,+1.22%,103.48,101.81,200400,05/03/19
CFX,"Colfax Corp",30.27,0.52,+1.75%,30.37,29.85,2700000,05/03/19
CGNX,"Cognex Cp",49.02,0.74,+1.53%,49.25,48.6,1248800,05/03/19
CHDN,"Churchill Downs IN",102.35,1.54,+1.53%,102.58,100.77,311100,05/03/19
CHE,"Chemed Inc",331.1,4.42,+1.35%,331.22,326.23,120100,05/03/19
CHFC,"Chemical Financial",44.71,0.89,+2.03%,44.74,43.88,487800,05/03/19
CHK,"Chesapeake Energy Corp",2.82,0.09,+3.30%,2.87,2.74,29503100,05/03/19
CIEN,"Ciena Corp",38.79,-0.21,-0.54%,39.01,38.15,3459800,05/03/19
CLB,"Core Laboratories N.V.",60.52,1.17,+1.97%,60.88,59.78,854500,05/03/19
CLGX,Corelogic,40.62,0.59,+1.47%,40.65,39.97,554100,05/03/19
CLH,"Clean Harbors",71.83,0.46,+0.64%,71.93,70.41,525100,05/03/19
CLI,"Mack-Cali Realty Corp",23.44,0.49,+2.14%,23.54,23.1,420700,05/03/19
CMC,"Commercial Metals Company",17.69,0.88,+5.23%,17.71,17.02,873800,05/03/19
CMD,"Cantel Medical",68.92,0.38,+0.55%,69.72,68.61,263800,05/03/19
CMP,"Compass Minerals Intl Inc",56.41,1.32,+2.40%,57.01,55.33,455300,05/03/19
CNK,"Cinemark Holdings Inc",42.39,0.42,+1.00%,42.57,41.93,841400,05/03/19
CNO,"Cno Financial Group",16.97,0.38,+2.29%,17.03,16.64,851600,05/03/19
CNX,"CNX Resources Corp",8.76,0.11,+1.27%,8.86,8.64,4346700,05/03/19
COHR,"Coherent Inc",155.49,13.44,+9.46%,155.91,144.52,771000,05/03/19
CONE,"Cyrusone Inc",61.11,3.08,+5.31%,61.17,57.93,2075800,05/03/19
COR,"Coresite Realty Corp",113.59,2.48,+2.23%,113.82,111.33,170700,05/03/19
CPE,"Callon Petroleum Company",7.33,0.29,+4.12%,7.33,7.09,4562700,05/03/19
CPT,"Camden Property Trust",100.83,0.85,+0.85%,104.16,99.46,439200,05/03/19
CR,"Crane Company",88.74,3.13,+3.66%,89,86.48,353900,05/03/19
CREE,"Cree Inc",68.21,2.02,+3.05%,68.82,66.14,2444200,05/03/19
CRI,"Carter's Inc",108.12,0.64,+0.60%,109.71,107.86,714400,05/03/19
CRL,"Charles River Laboratories Intl",142.41,2.68,+1.92%,142.56,140.32,202000,05/03/19
CRS,"Carpenter Technology Corp",51.7,2.02,+4.07%,51.87,49.98,274100,05/03/19
CRUS,"Cirrus Logic Inc",50.02,0.71,+1.44%,50.12,48.65,1166100,05/03/19
CSL,"Carlisle Companies Inc",140.47,0.66,+0.47%,141.07,139.62,361900,05/03/19
CTLT,"Catalent Inc",45.79,1.37,+3.08%,45.83,44.24,938200,05/03/19
CUZ,"Cousins Properties Inc",9.49,0.08,+0.85%,9.52,9.38,7552400,05/03/19
CVET,"Covetrus Inc",33.27,0.29,+0.88%,33.5,32.94,843000,05/03/19
CVLT,"Commvault Systems",52.85,0.53,+1.01%,53,52.21,532700,05/03/19
CW,"Curtiss-Wright Corp",115.85,1.28,+1.12%,116.98,115.27,205200,05/03/19
CXW,"Corecivic Inc",21.3,0.56,+2.70%,21.31,20.86,432700,05/03/19
CY,"Cypress Semiconductr",17.57,0.46,+2.69%,17.59,17.06,4477100,05/03/19
CZR,"Caesars Entertainment Corp",9.35,0.2,+2.19%,9.42,9.19,22680600,05/03/19
DAN,"Dana Inc",18.19,-0.11,-0.60%,18.66,17.89,2512900,05/03/19
DCI,"Donaldson Company",53.82,1.07,+2.03%,53.93,53.11,360400,05/03/19
DDS,Dillard's,68.76,0.88,+1.30%,68.82,67.71,278100,05/03/19
DECK,"Deckers Outdoor Corp",158.9,0.68,+0.43%,159.75,156.77,445400,05/03/19
