Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
RTN,"Raytheon Company",179.3,2.26,+1.28%,179.67,177.88,1133500,05/03/19
SBAC,"SBA Communications",206.92,2.73,+1.34%,207.28,204.37,528900,05/03/19
SBUX,"Starbucks Corp",78.05,0.58,+0.75%,78.4,77.34,4967900,05/03/19
SCHW,"The Charles Schwab Corp",46.24,0.36,+0.78%,46.54,45.91,4086100,05/03/19
SEE,"Sealed Air Corp",45.03,0.51,+1.15%,45.5,44.48,1370700,05/03/19
SHW,"Sherwin-Williams Company",455.91,3.24,+0.72%,457.2,451.02,366400,05/03/19
SIVB,"Svb Financial Grp",258.61,3.19,+1.25%,259.95,256.01,363100,05/03/19
SJM,"J.M. Smucker Company",123.54,0.61,+0.50%,123.58,122.48,387200,05/03/19
SLB,"Schlumberger N.V.",41.28,0.16,+0.39%,41.81,41.11,7184800,05/03/19
SLG,"SL Green Realty Corp",86.65,-0.11,-0.13%,87.51,86.17,451400,05/03/19
SNA,"Snap-On Inc",171.46,2.06,+1.22%,172.43,169.28,543900,05/03/19
SNPS,"Synopsys Inc",121.65,0.95,+0.79%,122.36,120.5,662000,05/03/19
SO,"Southern Company",53.24,0.49,+0.93%,53.37,52.76,3490700,05/03/19
SPG,"Simon Property Group",179.41,1.61,+0.91%,180.06,176.59,1069900,05/03/19
SPGI,"S&P Global Inc",217.88,0.71,+0.33%,218.61,215.42,1128900,05/03/19
SRE,"Sempra Energy",127.45,1.48,+1.17%,127.59,126.08,869400,05/03/19
STI,"Suntrust Banks",65.35,0.62,+0.96%,65.41,64.84,2101600,05/03/19
STT,"State Street Corp",67.21,0.7,+1.05%,67.46,66.69,1699000,05/03/19
STX,"Seagate Tech Ord Shs",49.6,1.21,+2.50%,49.65,48.49,2545800,05/03/19
STZ,"Constellation Brands Inc",211.4,2.28,+1.09%,212.06,209.79,1114000,05/03/19
SWK,"Stanley Black & Decker Inc",153.08,3.11,+2.07%,153.26,150.54,856800,05/03/19
SWKS,"Skyworks Solutions",87.6,-3.19,-3.51%,89.95,84.04,5988600,05/03/19
SYF,"Synchrony Financial",34.34,0.19,+0.56%,34.44,34.03,2621300,05/03/19
SYK,"Stryker Corp",190.71,1.86,+0.98%,191.15,188.9,878700,05/03/19
SYMC,"Symantec Corp",23.55,0.2,+0.86%,23.83,23.4,5055600,05/03/19
SYY,"Sysco Corp",70.52,-0.31,-0.44%,71.17,70.39,3076500,05/03/19
T,"AT&T Inc",30.7,0.08,+0.26%,30.79,30.57,28225600,05/03/19
TAP,"Molson Coors Brewing Company",61.37,1.45,+2.42%,61.44,60.3,1707900,05/03/19
TDG,"Transdigm Group Inc",478.35,-0.24,-0.05%,480.98,473.72,183300,05/03/19
TEL,"Te Connectivity Ltd",95.65,1.14,+1.21%,95.75,94.89,1126700,05/03/19
TFX,"Teleflex Inc",300.36,2.33,+0.78%,300.73,294.7,399700,05/03/19
TGT,"Target Corp",75.94,-0.48,-0.63%,77,75.32,5774700,05/03/19
TIF,"Tiffany & CO",109.55,1.65,+1.53%,109.75,108.1,1204200,05/03/19
TJX,"TJX Companies",54.03,-0.42,-0.77%,54.88,54,4916800,05/03/19
TMK,"Torchmark Corp",87.9,0.4,+0.46%,88.32,87.47,284200,05/03/19
TMO,"Thermo Fisher Scientific Inc",278.64,0.83,+0.30%,280.01,277.74,1254100,05/03/19
TPR,"Tapestry Inc",31.2,-0.19,-0.61%,31.88,31.1,6443000,05/03/19
TRIP,"Tripadvisor Inc",55.08,2.64,+5.03%,55.2,53.25,2551900,05/03/19
TROW,"T Rowe Price Group",106.86,1.6,+1.52%,106.92,105.62,537000,05/03/19
TRV,"The Travelers Companies Inc",143.35,0.65,+0.46%,144.22,142.28,1109100,05/03/19
TSCO,"Tractor Supply CO",103.87,0.84,+0.82%,104.76,102.98,1573100,05/03/19
TSN,"Tyson Foods",75.09,-0.03,-0.04%,75.7,74.64,3075100,05/03/19
TSS,"Total System Services",102.08,0.48,+0.47%,102.51,101.75,1011600,05/03/19
TTWO,"Take-Two Interacti",101.62,1.94,+1.95%,102.38,98.44,1913800,05/03/19
TWTR,"Twitter Inc",40.8,0.85,+2.13%,40.82,39.96,15577100,05/03/19
TXN,"Texas Instruments",117.47,0.01,+0.01%,117.97,116.11,3689000,05/03/19
TXT,"Textron Inc",53.3,0.81,+1.54%,53.35,52.57,1116200,05/03/19
UA,"Under Armour Inc Class C Comm",20.24,-0.15,-0.74%,20.47,19.9,2665200,05/03/19
UAA,"Under Armour",22.74,-0.08,-0.35%,23.01,22.31,6157800,05/03/19
UAL,"United Continental Holdings",88.5,0.19,+0.22%,89.06,88.27,1164900,05/03/19
UDR,"United Dominion Realty Trust",44.47,0.21,+0.47%,44.67,44.13,802700,05/03/19
UHS,"Universal Health Services",123,-1,-0.81%,124.95,122.63,1101100,05/03/19
ULTA,"Ulta Beauty Inc",341.96,-1.72,-0.50%,346.12,339.98,728500,05/03/19
UNH,"Unitedhealth Group Inc",231.95,-0.5,-0.22%,233.9,227.18,4323100,05/03/19
UNM,"Unumprovident Corp",36.81,0.28,+0.77%,36.94,36.51,1337600,05/03/19
UNP,"Union Pacific Corp",179.2,3.31,+1.88%,180.02,177.54,2729400,05/03/19
UPS,"United Parcel Service",106.65,1.14,+1.08%,106.95,105.32,3107500,05/03/19
URI,"United Rentals",140.24,3.24,+2.36%,141.25,137.49,1015300,05/03/19
USB,"U.S. Bancorp",53.48,0.3,+0.56%,53.78,53.2,4205500,05/03/19
UTX,"United Technologies Corp",141.63,1.83,+1.31%,141.69,139.96,2840300,05/03/19
V,"Visa Inc",162.04,0.92,+0.57%,162.74,161.18,4317800,05/03/19
VAR,"Varian Medical Systems",139.13,1.32,+0.96%,139.87,138.02,380700,05/03/19
VFC,"V.F. Corp",95.37,1.48,+1.58%,95.42,94.28,1650300,05/03/19
VIAB,"Viacom Inc Cl B",28.6,-0.31,-1.07%,29.04,27.85,4326100,05/03/19
VLO,"Valero Energy Corp",88.44,0.19,+0.22%,89.66,88.25,2994400,05/03/19
VMC,"Vulcan Materials Company",128.5,-0.7,-0.54%,130,127.42,987000,05/03/19
VNO,"Vornado Realty Trust",67.29,-0.67,-0.99%,67.82,66.81,1388100,05/03/19
VRSK,"Verisk Analytics Inc",143.21,2.86,+2.04%,143.27,140.83,514000,05/03/19
VRSN,"Verisign Inc",196.95,1.97,+1.01%,197.44,195.11,415100,05/03/19
VRTX,"Vertex Pharmaceutic",173.87,4.33,+2.55%,174.19,169.46,971700,05/03/19
VTR,"Ventas Inc",62.48,0.95,+1.54%,62.58,61.47,1767900,05/03/19
VZ,"Verizon Communications Inc",57.24,0.25,+0.44%,57.36,56.87,9388199,05/03/19
WAB,"Wabtec Corp",75.12,0.14,+0.19%,75.88,74.69,4985700,05/03/19
WAT,"Waters Corp",218.08,2,+0.93%,220.68,216.4,455100,05/03/19
WBA,"Walgreens Boots Alliance",54.08,0.29,+0.54%,54.33,53.84,5516900,05/03/19
WCG,"Wellcare Group",261.5,1.83,+0.70%,262.17,256.78,1131800,05/03/19
WDC,"Western Digital Cp",50.8,1.04,+2.09%,50.94,49.68,3813300,05/03/19
WEC,"Wisconsin Energy Corp",78.31,0.7,+0.90%,78.43,77.58,879800,05/03/19
WELL,"Welltower Inc",76.45,1.1,+1.46%,76.57,75.3,1049100,05/03/19
WFC,"Wells Fargo & Company",48.65,0.35,+0.72%,48.77,48.35,16571500,05/03/19
WHR,"Whirlpool Corp",142.46,0.15,+0.11%,143.73,142.04,561600,05/03/19
WLTW,"Willis Towers Wts",179.77,1.27,+0.71%,180.85,178.29,473900,05/03/19
WM,"Waste Management",106.4,0.23,+0.22%,106.62,105.82,1677300,05/03/19
WMB,"Williams Companies",27.59,0.13,+0.47%,27.97,27.59,7141900,05/03/19
WMT,"Wal-Mart Stores",102.08,0.93,+0.92%,102.75,101.8,5317200,05/03/19
WRK,"Westrock Company",39.29,0.77,+2.00%,39.49,38.85,2089800,05/03/19
WU,"Western Union Company",19.3,0.03,+0.16%,19.44,19.11,3430200,05/03/19
WY,"Weyerhaeuser Company",26.78,0.32,+1.21%,26.9,26.49,2848400,05/03/19
WYNN,"Wynn Resorts Ltd",147.36,1.8,+1.24%,148,145.56,1101100,05/03/19
XEC,"Cimarex Energy CO",66.83,1.43,+2.19%,67.21,65.99,1205100,05/03/19
XEL,"XCEL Energy Inc",56.58,0.66,+1.18%,56.65,55.82,1636100,05/03/19
XLNX,"Xilinx Inc",119.02,0.12,+0.10%,119.88,117.89,3255700,05/03/19
XOM,"Exxon Mobil Corp",77.47,0.18,+0.23%,78.21,77.44,12180700,05/03/19
XRAY,"Dentsply Sirona Inc",55.05,3.55,+6.89%,55.88,53.3,4408600,05/03/19
XRX,"Xerox Corp",32.95,0,0.00%,33.31,32.78,2361700,05/03/19
XYL,"Xylem Inc",82.29,2.75,+3.46%,82.36,80.23,1156200,05/03/19
YUM,"Yum! Brands",102.72,0.98,+0.96%,103.48,102.04,1719200,05/03/19
ZBH,"Zimmer Biomet Holdings",124.31,1.1,+0.89%,125.18,123.42,851500,05/03/19
ZION,"Zions Bancorporation",50.05,0.57,+1.15%,50.19,49.65,1698200,05/03/19
ZTS,"Zoetis Inc Cl A",103.75,0.6,+0.58%,103.97,102,1965100,05/03/19
"Downloaded from Barchart.com as of 05-04-2019 02:33am CDT"
